word,search_count
,169
дисперсия,70
медиана,60
диспер,32
дисп,28
дис,22
ме,19
диспе,19
дисперси,19
д,15
норми,15
нормиро,13
размах,13
детер,12
медиан,12
меди,12
медиа,11
линей,10
м,10
лине,10
тренд,10
нормировка,10
дисперс,10
эксп,9
ди,9
впр,8
норм,8
нор,8
экспо,8
мед,8
линейная,7
нормирование,7
детерм,6
Медиана,6
ко,6
линейн,6
средне,6
Дисперсия,6
экспон,5
lbc,5
нормир,5
нормиров,5
R,5
коэф,5
эк,5
экс,5
экспонен,5
l,5
v,5
э,4
кор,4
мода,4
Ме,4
де,4
с,4
ВПР,4
линейный,4
коэ,4
exp,4
линейный трен,4
среднее,4
нормирова,4
нормировк,4
вп,4
к,4
коэфф,4
DATE,3
лин,3
сред,3
разма,3
средн,3
линейна,3
Д,3
сумма,3
линейная нормировка,3
дете,3
трен,3
линейный тренд,3
проц,3
М,3
group,3
про,3
кодировки,3
в,3
но,3
ПРОСМОТРХ,3
vt,3
мод,3
экспоненциально,2
диса,2
н,2
lbcgthcb,2
lb,2
сколь,2
коэффициент тр,2
Get,2
yjhvb,2
ltnt,2
эе,2
с точностт,2
кар,2
r,2
ка,2
Диспер,2
rj,2
отличающи,2
yjhv,2
дисперсии,2
kbyt,2
коэффи,2
y,2
f,2
медт,2
разбро,2
Диспе,2
МЕДИАНА,2
e,2
lbcg,2
коэффициент,2
a,2
у,2
т,2
лексе,2
процен,2
ltnth,2
коре,2
map,2
er,2
ли,2
степень,2
лексег,1
линейная но,1
линейная нор,1
линейная норм,1
линейная нормеровка,1
линейная нормм,1
линейное,1
линейный тр,1
линейный трен\,1
логи,1
логич,1
логиче,1
логическ,1
логическая,1
мt,1
мtlbfy,1
мас,1
масшта,1
масштабируемость,1
меда,1
медиаа,1
медиал,1
медио,1
медип,1
медипнп,1
медл,1
медм,1
мем,1
мень,1
меньше,1
мкд,1
нак,1
накло,1
нори,1
норми\,1
нормированн,1
нормировать,1
нормировки,1
норп,1
отл,1
отлич,1
отличаю,1
отличающиеся,1
отличающих,1
отличающихй,1
отличающихйся,1
отличающихся,1
порядок,1
пр,1
пре,1
прео,1
просмо,1
просмотр,1
проце,1
процент,1
процке,1
р,1
ра,1
ра?бро,1
ра?брос,1
раз,1
разброс,1
рег,1
рпп,1
с то,1
с точ,1
с точно,1
с точност,1
скольз,1
сорт,1
ср,1
средее,1
средеее,1
среднее значение,1
срене,1
ст,1
степ,1
степе,1
степен,1
сумма норми,1
сх,1
схема,1
транзакци,1
транзакция,1
тренда,1
угл,1
угол,1
уни,1
уник,1
уровен,1
учз,1
ф,1
функ,1
функц,1
функции,1
ц,1
цел,1
целева,1
целевая,1
ч,1
числа,1
ширина,1
ьюс точностт,1
экмп,1
экмпо,1
экпо,1
экпоне,1
экпонен,1
экпоненци,1
экпоненциал,1
экпоненциальна,1
эксоп,1
экспоен,1
экспоненц,1
экспоненциа,1
экспоненциаль,1
экспоненциальн,1
экспоненциальная,1
экспоненциальная нормировка,1
экспоненциальное,1
экспоненциальное сглаживание,1
экст,1
экстремальный,1
экстремальный выб,1
экстремальный выбор,1
экстремальный выброс,1
я,1
',1
'rc,1
'rcg,1
'rcgjyty,1
'rcgjyty\,1
'rcnhtvfkm,1
ACID,1
D,1
E,1
Eventual,1
G,1
GetN,1
HFP,1
LI,1
LIKE,1
Lbcgt,1
S,1
SMA,1
SOFT,1
VTLB,1
VTLBF,1
Vtl,1
ce,1
cel,1
cell,1
d,1
for,1
g,1
ghj,1
ght,1
gr,1
grou,1
group b,1
group by,1
hf,1
hfpvf,1
ibhb,1
k,1
kby,1
kbytqyf,1
kbytqyfz,1
lbcgh,1
lbcgh=,1
lbcgh============,1
lbcgt,1
lbcgth,1
lbcgthcbb,1
lbcgthcbz,1
lcb,1
nh,1
pflf,1
rj',1
var,1
vtlb,1
vtlbfy,1
vtymit,1
w,1
yj,1
yjvh,1
В,1
ВЕРТИ,1
ВФЕУ,1
ДАТА,1
Дисп,1
Дисперси,1
ЛИ,1
Ли,1
Лин,1
МЕ,1
МЕДИ,1
МЕДИАН,1
Мед,1
Меди,1
Медиа,1
Мк,1
ПРОСМОТР,1
ПРОСМОТРПРОСМОТРХ,1
ЭКСПОНЕН,1
ЭКСПОНЕНЦИ,1
автор,1
агреги,1
агрегирование,1
агрегировать,1
агрегр,1
атриб,1
в пр,1
вер,1
верт,1
вертикаль,1
вертикальная,1
визу,1
визуа,1
выброс,1
данн,1
детермина,1
детерминация,1
дим,1
дип,1
дисg,1
диск,1
диспервия,1
дисперис,1
дисперсиядисперсия,1
дисперся,1
дисперчия,1
диспетчер,1
диспре,1
дс,1
жисперсия,1
зада,1
задач,1
задач\,1
знач,1
значе,1
значен,1
значение,1
инстр,1
кард,1
карди,1
кардин,1
кардина,1
кож,1
корел,1
корр,1
коэффицен,1
коэффицент,1
коэффициент тре,1
л,1
