course_id,count
course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1,1094268
course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac,1575370
course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac,628521
