event_name,time,count
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@017f99a84f644cbba643589183ccb6b1,2022-09-16,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@017f99a84f644cbba643589183ccb6b1,2022-09-18,5
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@140309fa25ab4594b2fa728294a07e3c,2022-09-22,10
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@140309fa25ab4594b2fa728294a07e3c,2022-09-23,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@140309fa25ab4594b2fa728294a07e3c,2022-09-27,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@2277f96f8751433b9cbda5382f03d044,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@29a8dd81360e4cd9aef9fd31c5f6ec29,2022-09-15,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@29a8dd81360e4cd9aef9fd31c5f6ec29,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@33096dc4c8d64d46937f3abe7a6bb0bc,2022-09-20,4
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@33096dc4c8d64d46937f3abe7a6bb0bc,2022-10-06,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@3ad687a87ed5456fb03022b08598f646,2022-09-20,7
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@3ad687a87ed5456fb03022b08598f646,2022-09-21,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@3bdc7624bc85442fb2c0d6ab883277e6,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@403fc3ffa3ec4b1fa0b28151f302e369,2022-09-15,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@403fc3ffa3ec4b1fa0b28151f302e369,2022-09-19,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@403fc3ffa3ec4b1fa0b28151f302e369,2022-09-20,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@42a28f08e32e4fc5825cde1447faf61a,2022-09-22,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@42a28f08e32e4fc5825cde1447faf61a,2022-10-13,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@42a28f08e32e4fc5825cde1447faf61a,2022-10-14,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@4684cc57487a4f9ea4a2a0d7eef42655,2022-09-22,7
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@4684cc57487a4f9ea4a2a0d7eef42655,2022-09-27,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@49a4ad64116149e3802ccab9b335e2a6,2022-09-15,4
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@49a4ad64116149e3802ccab9b335e2a6,2022-09-18,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@49a4ad64116149e3802ccab9b335e2a6,2022-09-21,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@6a566d1371964028a8d0841f83b919b7,2022-09-22,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@6a566d1371964028a8d0841f83b919b7,2022-10-13,4
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@75516ca1a9de4da99228ec3c029749c1,2022-09-20,7
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@76694e7f86fd440a8e9ee076ea32b144,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@770ef51296644d7d8227fa09f5395140,2022-09-22,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@770ef51296644d7d8227fa09f5395140,2022-09-24,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@770ef51296644d7d8227fa09f5395140,2022-09-27,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@7959e07c46ee440ba932a31906ed70de,2022-09-25,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@8684cd0ad5f9412e9cfd495126aa2495,2022-09-22,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@8684cd0ad5f9412e9cfd495126aa2495,2022-10-13,4
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@8cfdadca98c348698fb27d1c6f3caa0e,2022-09-15,5
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@8cfdadca98c348698fb27d1c6f3caa0e,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@8d6e557be12641ebbf1f910cdbd29a13,2022-09-15,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@8d6e557be12641ebbf1f910cdbd29a13,2022-09-20,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@8d6e557be12641ebbf1f910cdbd29a13,2022-09-25,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@8d6e557be12641ebbf1f910cdbd29a13,2022-10-15,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@8efc4e76687a46c5b1e44bb158c1228e,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@9480a56a077c4a759c5965e77170d99f,2022-09-15,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@97db5f63cbc54030a471753d0cd14332,2022-09-22,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@97db5f63cbc54030a471753d0cd14332,2022-10-13,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@9e6c016f23e140de94d55f5537790e7e,2022-09-27,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@9e6c016f23e140de94d55f5537790e7e,2022-10-21,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@a0fdf7f36aab4847ab8f0381c27b333f,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@a44070d49d9e4b2389acc6d4792f3ac0,2022-09-15,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@ab944340649f42fcb070deace49d1e95,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@b025fc32653d4df89aefc0ce578ee48d,2022-09-20,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@b025fc32653d4df89aefc0ce578ee48d,2022-09-21,4
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@b025fc32653d4df89aefc0ce578ee48d,2022-10-05,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@b025fc32653d4df89aefc0ce578ee48d,2022-10-13,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@b6566d5978594b7ab3ceedbfe79c4f97,2022-09-22,7
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@b6566d5978594b7ab3ceedbfe79c4f97,2022-09-23,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@b6566d5978594b7ab3ceedbfe79c4f97,2022-09-24,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@b6566d5978594b7ab3ceedbfe79c4f97,2022-09-27,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@b6566d5978594b7ab3ceedbfe79c4f97,2022-10-05,1
