problem_id,all_attempts,successful_attempts
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@24d788c4ffed440e9e597abafda81489,69,59
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@25bd108b10403c425bb2,4,3
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@270c609dbd354347ac189d2908622dd4,37,21
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2872da1d3d08475fa6e4533cf0e8a4f7,144,89
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@28aacbb975b9c97606b2,6,3
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@297267c773974fe0a8b8ec047b6f8101,30,21
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@297a1317a5294db5b41db9558fe04720,43,42
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@29c1ccd8e58d415eb9594b3c7e65a3ba,34,15
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@29f7acd029bd465b85228fc79ba2e367,87,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2a45783abf44420e98eec7929113668b,83,43
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2ab98e8f0b2b4185984030d8460f1978,131,104
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2b6e8f00dae24f9ea50836b02f36ae30,96,53
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2b8a6749d891433eb6cd386cfc2027be,173,86
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2bc3faafcb81496c984244101f88181a,97,88
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2d0e19b7320b438397b7afb68aed5054,102,99
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2d534a0a494840e7887d0b88bcb60349,34,11
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2ddab2328f8c8839fe8c,13,5
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2ec2be5c0eb443b5aac4aa4994146c3e,104,93
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2f13675158a544cebb8686e2ec1b8ad3,108,101
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2f17ec4b629646b1b76f0e7523df82c0,43,13
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@2f2787a3c2984e6599a981792339c289,34,11
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@3046b868459f4c1598ec802a1fe74aab,144,138
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@30594fb163384024bd029d92c003eb90,99,47
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@30c40e0415274ab9bdbfb618ab670145,136,106
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@32348c79dcaf43c499bf4013827d8a5d,94,88
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@3235a902977b45369b0a450e44fb5b14,66,60
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@33f4474f5764fae982f4,13,7
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@34e35e9d9c08872773fa,10,2
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@35826123ac424e6695d98c1f24ba9f74,61,50
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@36a4ae84e82e4ce99a8f7ae76c0c244e,55,27
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@36c563cd1d5f4b3da4eb2b3a199bb484,250,130
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@3767f744a4ea405aacf5fda72df4b054,103,99
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@377324ec610b429890fb58009b6fcfed,109,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@395c3a14d8d2457a972301aeea0efe3a,139,133
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@399693989dfb401fab33b2a16e8f8514,51,37
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@399c02b913f0b7efc2c0,10,3
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@3d241208abe748d9a986e23ca268b431,176,156
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@3d5721c3e5fa408e93bd04a94c066ab4,23,15
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@3dccc5840a5d4fc08286d81e65565e56,130,124
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@3ff6474ffc474bbe9cd83638848d72ff,121,91
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@3fffa7a106594b7daa8ff306baaff38f,66,59
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@405f1d0651ad418ba1592528d5eefef9,33,11
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@40e87972ea604fcb8da3056a50454719,76,34
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@432938b5a9304f4bb3644f48ba3da00c,136,132
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@43f66620f4b6432c8dd91629a632b093,57,49
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@44051f8bdc224d31947df8ec280af83a,104,59
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@441cab4792144c4b94bb4f65cb0cd657,245,137
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@444394ad5a004fe2955a4963f56d5dbe,27,16
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@447b2977e8224d25bb094d807d32d36c,81,53
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4483ea411f0e49559fbb4a255974b4dd,190,115
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@44c1efffe7944e9588a1a4a25b9fe313,83,72
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@44c907884f514aabbe5fdda25513e8cf,86,50
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@44e2caf1feec4185b7197bc7a995fbf2,134,51
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4568947814f0441880a528808e18298b,81,53
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4598338ea1db40d0ac41145c52e5a416,45,42
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@45fec7d442b508320cde,13,5
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@471fd10c6dc64b33ab248582befb9cc5,107,93
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@475868397348404889c68de9d817c6d4,134,127
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@47c48927aa277a34fa00,20,3
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4879cc3ff63148d4acedf6332b7e940c,17,4
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4959b64d70994af99c96ef03d6611e35,61,54
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4ace374a49b34835b83fe7d4f8d48d2d,98,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4ad92002b5054c718a01f5770110dd00,148,75
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4b83e4efa313427598a5918b746ffd83,62,49
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4b97d35ea1cf403097a2864937a8001b,37,19
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4db2c2a903f646748effc81d687dc23b,65,41
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4f383f4dfa654c1eb04db45404c7c505,36,22
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4f7cd32af4334c85999ab803fe1c91ac,141,85
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4f900dc654774bb7908ebff56224abc3,27,9
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4fcf1044cc72457e9e801ec9c36275ac,245,139
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@4fef6b5d5d664c54b8a955306cb42636,185,89
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5023b5c441cb4586873d719ef42d15f2,129,94
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@50310fca274e43288fef2c5ed5604361,54,51
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@50600402b0f242378cd5dae4f11c9465,123,116
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@509393a1d57741efa70317cea57afdc3,102,86
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@50e1ccf493284ab48f536a7e56cdaf1b,166,142
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5152ee820bcc48189df4c9901ec47484,125,91
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@541d26176bf14f198e762f4fc9d02861,21,15
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@54ca9565a8aa46689e6cf98fdceb6280,15,5
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@552643eea40646c593b8de3cca00e6f7,5,4
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5627a147310b45c18f99a54c761beba4,130,86
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@562a4dde59374815bfafef50521332bc,27,16
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@56974d9abae2439ab8c6924d600f2555,142,95
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5714a752b50040ceb03a2a84a2a8bd98,50,38
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5717bb5334ee4dd0a4681684dfd94a43,71,53
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5717d9f56a4d48e1bdc12b41b379235c,74,18
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@57d30de8198d42338e4f64a6144698b0,122,92
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@589d7928a4f997efa920,34,8
