page_link,visits_count
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@c93bd75222cf4ad6a515001e4578d61b,1052
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@db4247c867e0485abbf659484ba6cc09,1046
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@250556c3278b4ed1964bcd6a7263517b,1035
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@858135006c104b8fa96bf453a628e956,1032
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@3f932434130b4629ac03768f0ceae4fe,1031
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@a75bfe885db44f219de5ef6d64bc01e0,1017
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@e7d00b8058a44abfb572caa7fb342d64,941
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@d7b090d638a34fbbad23e4639b6df807,933
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@d2bc7804e23f42a6988df469c519565b,919
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@341991fc425349329b5ad85f8e04f64c,911
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@a0e034278b214c608be30d8a15c8456e,903
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@9520b1dc32a244698581cc05dba4ea25,861
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@7bc22ee2ad0c4f9f9f857a84a31976c7,834
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@15233c544f024ba495868a2d4c3021cf,814
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@3fcba290dece4fe7b808abafd0f12d0b,799
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@81a76457d02648ebbf9142fd8dc702b0,761
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@8347d1e62e3c42788e1e16beb9d84e89,756
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@321b7c8f71f14486a4b92833c7d890cf,738
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@89e8e62d5c904961a37907d8e59d0719,704
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@9ca9b1d80dcd41598cf5f443a98eafa2,675
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@fa545d1424394ea58610b36994827d19,672
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@f234e948b18d492b8af000a9cc4c9555,659
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@98d1502e35214c8b9d1757c157a87857,657
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@3afc25753cbd46e58155eb2c7992d7ff,624
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@5caa0f96b8ce4aad95bd78211b44facd,602
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@d4e9f3e418f544b88cccddfdd32bf164,545
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@369d6c4704f5487696f6df024cabda04,542
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@ed121d68ec9a44d5b738be3b76b6d8e2,542
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@cef8af419ec04e788e48ceac3f49d517,529
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@ae2e721c731444198a3b05dc101a35a3,526
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@32a54762fc124d209358cc5d1c8336bb,462
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@ef20bb4077ab4914810e792b3e30c9c9,435
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@96fc41f52b1b4c8da9d4f6a37824ff5b,413
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@47e06a7809a247869d737776e7e7e8c4,398
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@d001e0b33e9241f0b91a88df725f1763,395
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@888d3101b79747288719e6d2f5153c18,323
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@0b7e50d81dc44cb7ad92bbb1d217608f,294
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@d0013d08e20e4ddbadce148f33b12e4d,265
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@825f49017d0b4f3bb2b06240544d6b76,216
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@43e608b1f0394928b287d23cb5e5707a,174
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@706d9b00ef104fbd8bce84ea8d3fad04,124
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@3c719d606ff6450bb416cb597d852b1c,122
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@c17a9b98628e4c8c9d4eb755ef781770,119
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@4de6f7e51819493b853fb8e79437532b,101
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@fba08fd7eed14228ade228ef91426e2e,99
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@373f5d18b2394f93a63c57ec1e5e77a1,93
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@8aa870f48d374d86ba5b80d1a89b6d34,83
